Date,Close,Position
2024-05-07,180.9241180419922,0
2024-05-08,181.2613525390625,2
2024-05-09,183.0765686035156,0
2024-05-10,181.81512451171875,0
2024-05-13,185.02333068847656,0
2024-05-14,186.16558837890625,0
2024-05-15,188.44012451171875,0
2024-05-16,188.55931091308597,0
2024-05-17,188.58909606933597,0
2024-05-20,189.751220703125,0
2024-05-21,191.0523681640625,0
2024-05-22,189.61216735839844,0
2024-05-23,185.6192779541016,0
2024-05-24,188.6983642578125,0
2024-05-28,188.70831298828125,0
2024-05-29,189.0062713623047,0
2024-05-30,189.99952697753903,0
2024-05-31,190.9530487060547,0
2024-06-03,192.72105407714844,0
2024-06-04,193.03890991210935,0
2024-06-05,194.5486297607422,0
2024-06-06,193.1680145263672,0
2024-06-07,195.561767578125,0
2024-06-10,191.8171844482422,0
2024-06-11,205.7525177001953,0
2024-06-12,211.63259887695312,0
2024-06-13,212.79470825195312,0
2024-06-14,211.05653381347656,0
2024-06-17,215.2083282470703,0
2024-06-18,212.8443603515625,0
2024-06-20,208.26547241210935,0
2024-06-21,206.09027099609372,0
2024-06-24,206.73587036132807,0
2024-06-25,207.65960693359372,0
2024-06-26,211.81138610839844,0
2024-06-27,212.65565490722656,0
2024-06-28,209.1991271972656,0
2024-07-01,215.2877960205078,0
2024-07-02,218.78404235839844,0
2024-07-03,220.05538940429688,0
2024-07-05,224.8130645751953,0
2024-07-08,226.2831268310547,0
2024-07-09,227.1372833251953,0
2024-07-10,231.4082794189453,0
2024-07-11,226.0348052978516,0
2024-07-12,228.98475646972656,0
2024-07-15,232.81871032714844,0
2024-07-16,233.23587036132807,0
2024-07-17,227.33596801757807,0
2024-07-18,222.66763305664065,0
2024-07-19,222.79676818847656,0
2024-07-22,222.44915771484372,0
2024-07-23,223.4920654296875,0
2024-07-24,217.06570434570312,0
2024-07-25,216.02279663085935,0
2024-07-26,216.4896240234375,0
2024-07-29,216.7677459716797,0
2024-07-30,217.32394409179688,0
2024-07-31,220.58181762695312,0
2024-08-01,216.8869171142578,0
2024-08-02,218.37681579589844,0
2024-08-05,207.85824584960935,0
2024-08-06,205.83200073242188,0
2024-08-07,208.404541015625,0
2024-08-08,211.87098693847656,0
2024-08-09,214.7812347412109,0
2024-08-12,216.3126220703125,0
2024-08-13,220.0316619873047,0
2024-08-14,220.4791717529297,0
2024-08-15,223.46237182617188,0
2024-08-16,224.7849273681641,0
2024-08-19,224.6258087158203,0
2024-08-20,225.24234008789065,-2
2024-08-21,225.13296508789065,0
2024-08-22,223.2734222412109,0
2024-08-23,225.57049560546875,0
2024-08-26,225.9085998535156,0
2024-08-27,226.75384521484372,2
2024-08-28,225.2224578857422,0
2024-08-29,228.5039825439453,0
2024-08-30,227.7184295654297,0
2024-09-03,221.52330017089844,0
2024-09-04,219.6140289306641,0
2024-09-05,221.13546752929688,0
2024-09-06,219.58421325683597,0
2024-09-09,219.67369079589844,0
2024-09-10,218.878173828125,0
2024-09-11,221.4138946533203,0
2024-09-12,221.52330017089844,0
2024-09-13,221.2548065185547,0
2024-09-16,215.10939025878903,0
2024-09-17,215.5767364501953,0
2024-09-18,219.45492553710935,0
2024-09-19,227.5891265869141,0
2024-09-20,226.9228973388672,0
2024-09-23,225.20257568359372,0
2024-09-24,226.0975341796875,0
2024-09-25,225.10313415527344,0
2024-09-26,226.2466735839844,0
2024-09-27,226.51516723632807,0
2024-09-30,231.696044921875,0
2024-10-01,224.9440460205078,0
2024-10-02,225.51084899902344,0
2024-10-03,224.40704345703125,0
2024-10-04,225.53073120117188,0
2024-10-07,220.44932556152344,0
2024-10-08,224.5064849853516,0
2024-10-09,228.25540161132807,0
2024-10-10,227.7581787109375,0
2024-10-11,226.2765350341797,0
2024-10-14,230.00555419921875,0
2024-10-15,232.54129028320312,0
2024-10-16,230.4828338623047,0
2024-10-17,230.8507843017578,0
2024-10-18,233.6848297119141,0
2024-10-21,235.15655517578125,0
2024-10-22,234.5400390625,0
2024-10-23,229.46856689453125,0
2024-10-24,229.27963256835935,0
2024-10-25,230.1149444580078,0
2024-10-28,232.09378051757807,0
2024-10-29,232.36227416992188,0
2024-10-30,228.812255859375,0
2024-10-31,224.6457061767578,0
2024-11-01,221.6625213623047,0
2024-11-04,220.7675323486328,0
2024-11-05,222.1994781494141,0
2024-11-06,221.47357177734372,0
2024-11-07,226.2069091796875,0
2024-11-08,225.93814086914065,0
2024-11-11,223.22042846679688,0
2024-11-12,223.22042846679688,0
2024-11-13,224.1063995361328,0
2024-11-14,227.1924591064453,0
2024-11-15,223.98696899414065,0
2024-11-18,226.99337768554688,0
2024-11-19,227.252197265625,-2
2024-11-20,227.9689483642578,0
2024-11-21,227.4911193847656,0
2024-11-22,228.8350372314453,0
